Tarih;AAPL;AMZN;GOOGL;MSFT;NVDA
4.01.2010;-0,979602844;-0,973804959;-0,833186476;-0,913524423;-0,9367324
5.01.2010;-0,97925918;-0,972986693;-0,835601017;-0,913412703;-0,934954867
6.01.2010;-0,98242642;-0,975514006;-0,849362137;-0,915538696;-0,934164828
7.01.2010;-0,982788717;-0,97784453;-0,861749853;-0,919119427;-0,936600751
8.01.2010;-0,981488417;-0,974198559;-0,854821113;-0,916769626;-0,936337402
11.01.2010;-0,983225266;-0,977523434;-0,855617192;-0,921133559;-0,938049076
12.01.2010;-0,985445186;-0,980589367;-0,864916715;-0,923371442;-0,942130918
13.01.2010;-0,982723722;-0,978766377;-0,867882414;-0,920238355;-0,940550832
14.01.2010;-0,983856886;-0,980589367;-0,865467873;-0,913412703;-0,942394207
15.01.2010;-0,987107812;-0,980806881;-0,874084966;-0,914531574;-0,94581765
18.01.2010;-0,987107812;-0,980806881;-0,874084966;-0,914531574;-0,94581765
19.01.2010;-0,978646163;-0,980320062;-0,867418771;-0,911846075;-0,943710892
20.01.2010;-0,981720548;-0,982215547;-0,873726328;-0,917552827;-0,944171783
21.01.2010;-0,985120111;-0,981345491;-0,871477973;-0,924042922;-0,946212656
22.01.2010;-0,994705577;-0,986721223;-0,900321284;-0,93579221;-0,950096939
25.01.2010;-0,989764237;-0,987881298;-0,909078394;-0,931763834;-0,948253556
26.01.2010;-0,987098481;-0,988741003;-0,906961311;-0,92974959;-0,951742815
27.01.2010;-0,985296594;-0,985353985;-0,907241246;-0,927847349;-0,948846061
28.01.2010;-0,993275244;-0,981956605;-0,914073693;-0,933554158;-0,952532836
29.01.2010;-0,999990728;-0,982598785;-0,917879228;-0,944520216;-0,957141307
